section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_dependency_count,internal_dependencies,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Declarations,Definition,False,check_valid_access,497,497,1,check_valid_access,,,0,0,0,0,,0,,1,1,0,1,src/TilingBandPhaseScalarValidator.v,15,True,confirmed-external
Declarations,Definition,False,validate_instr_list,498,498,1,validate_instr_list,,,0,0,0,0,,0,,1,1,0,1,driver/CPolOpt.v,12,True,confirmed-external
Declarations,Definition,False,validate,499,499,1,validate,,,0,0,0,0,,2,checked_affine_schedule;try_phase_pipeline_from_source_pol,1,3,0,18,driver/CPolOpt.v;driver/ParallelPolOpt.v;driver/PolOptBandTiling.v;driver/PolOptCanonicalTiling.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,22,True,confirmed-external
Declarations,Definition,False,validate_general,500,500,1,validate_general,,,0,0,0,0,,0,,1,1,0,5,driver/CPolOpt.v;driver/ParallelPolOpt.v;driver/PolOptBandTiling.v;syntax/SBandTilingOpt.v;syntax/SParallelPolOpt.v,8,True,confirmed-external
Declarations,Lemma,False,checked_tiling_validate_correct,502,511,10,checked_tiling_validate_correct,509,511,3,1,1,1,checked_tiling_validate,1,checked_tiling_current_view_prepared_codegen_correct,0,1,0,0,,5,True,internal-live
Declarations,Lemma,False,checked_tiling_current_view_prepared_codegen_correct,513,532,20,checked_tiling_current_view_prepared_codegen_correct,525,532,8,6,6,2,checked_tiling_validate;checked_tiling_validate_correct,1,try_tiling_prepared_from_phase_correct,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,affine_opt_prepared_from_poly_correct,534,555,22,affine_opt_prepared_from_poly_correct,541,555,15,13,13,3,affine_opt_prepared_from_poly;scheduler'_correct;scheduler'_preserve_wf,2,identity_tiling_generic_opt_prepared_from_poly_correct;try_phase_pipeline_from_source_pol_correct,0,4,0,8,driver/PolOptCanonicalTiling.v;driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v,0,True,confirmed-external
Declarations,Lemma,False,try_tiling_prepared_from_phase_correct,557,594,38,try_tiling_prepared_from_phase_correct,564,594,31,29,29,4,checked_tiling_current_view_prepared_codegen_correct;infer_tiling_witness_scops;try_tiling_prepared_from_phase;try_verified_tiling_after_phase_mid,1,try_phase_pipeline_from_source_pol_correct,0,1,0,0,,0,True,internal-live
Declarations,Lemma,False,try_phase_pipeline_from_source_pol_correct,596,633,38,try_phase_pipeline_from_source_pol_correct,605,633,29,27,27,3,affine_opt_prepared_from_poly_correct;try_phase_pipeline_from_source_pol;try_tiling_prepared_from_phase_correct,1,identity_tiling_generic_opt_prepared_from_poly_correct,0,1,0,7,driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v,0,True,confirmed-external
Declarations,Lemma,False,identity_tiling_generic_opt_prepared_from_poly_correct,635,655,21,identity_tiling_generic_opt_prepared_from_poly_correct,643,655,13,11,11,5,affine_opt_prepared_from_poly_correct;export_for_phase_scheduler;has_nonscalar_stmt;identity_tiling_generic_opt_prepared_from_poly;try_phase_pipeline_from_source_pol_correct,0,,0,0,0,5,driver/PolOptCorrect.v;driver/PolOptIdentityGenericISS.v,0,True,confirmed-external
